#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.668654677346e-02      -6.597029198500e-01      -1.469230010875e+01      -1.670214500471e+01      -3.419000255091e+00      -1.543068813211e+01       3.886326213656e-01       3.883318110600e-01 
       2.100711755077e-02      -2.866849224990e-01      -1.910290108826e+01      -2.352184174305e+01      -3.581286305890e+00      -2.142139363802e+01       3.399752533133e-01       3.399571214842e-01 
       2.644623955393e-02      -4.187069980728e-01      -2.306101315708e+01      -3.210484626533e+01      -3.615793406758e+00      -2.872743489845e+01       2.874709660793e-01       2.873921611358e-01 
       3.327374362779e-02      -4.159290540566e-01      -2.579895614980e+01      -4.228501621203e+01      -3.421889460988e+00      -3.708533885950e+01       2.343046119647e-01       2.342507452955e-01 
       4.127182832491e-02      -4.281068588577e-01      -2.873953580120e+01      -5.328797108340e+01      -3.050029285451e+00      -4.610864313852e+01       1.892797710727e-01       1.892634400470e-01 
       4.792501282530e-02       3.282502916751e-02      -3.400283909853e+01      -6.215022956237e+01      -1.868271389618e+00      -5.375855772878e+01       1.636343376417e-01       1.636330876469e-01 
       5.276699605796e-02      -2.011363307616e-01      -4.024132636299e+01      -6.869923772592e+01      -1.451229837780e+00      -5.979736352439e+01       1.501247619936e-01       1.501150635303e-01 
       5.677431624307e-02      -3.040270419607e-01      -4.671152716172e+01      -7.423794433551e+01      -1.600837605681e+00      -6.510512634497e+01       1.411795005524e-01       1.411781791322e-01 
       6.035910434541e-02      -1.670830577109e-01      -5.304891939147e+01      -7.925915538286e+01      -1.719273523069e+00      -6.998180367710e+01       1.342515879368e-01       1.342464371093e-01 
       6.370622876322e-02      -1.602040788891e-01      -5.896223143164e+01      -8.395046487661e+01      -1.588251961087e+00      -7.452819319410e+01       1.283406025552e-01       1.283361987322e-01 
       6.691401171666e-02      -1.537436835913e-01      -6.419467837048e+01      -8.838615771692e+01      -1.361535942890e+00      -7.876829307249e+01       1.229457746822e-01       1.229424644410e-01 
       7.004161196182e-02      -1.474501316305e-01      -6.852971321228e+01      -9.259278590073e+01      -1.261367467754e+00      -8.270085404195e+01       1.178106135905e-01       1.178077600770e-01 
       7.312798990337e-02      -1.411543474319e-01      -7.180121475682e+01      -9.657499640723e+01      -1.302691894506e+00      -8.630532186856e+01       1.127845648367e-01       1.127816253534e-01 
       7.620066013249e-02      -1.347546206249e-01      -7.391161610181e+01      -1.003306847327e+02      -1.316682617016e+00      -8.955749882130e+01       1.077851250662e-01       1.077822375256e-01 
       7.928018556317e-02      -1.282516684697e-01      -7.484842722200e+01      -1.038596791257e+02      -1.206675963947e+00      -9.245083400601e+01       1.027902410426e-01       1.027878020693e-01 
