#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.686481E-04   0.226715E+07   0.226715E+07   0.301611E+07   0.301602E+07   0.000000E+00   0.226715E+07   0.226715E+07   0.227684E+07  -0.600505E+00   0.226273E+07   0.226273E+07   0.352879E+00
   0.709749E-04   0.226715E+07   0.226715E+07   0.301564E+07   0.301554E+07   0.000000E+00   0.226715E+07   0.226715E+07   0.227684E+07  -0.600503E+00   0.226272E+07   0.226272E+07   0.364836E+00
   0.733806E-04   0.226714E+07   0.226714E+07   0.301513E+07   0.301503E+07   0.000000E+00   0.226714E+07   0.226714E+07   0.227683E+07  -0.600501E+00   0.226272E+07   0.226272E+07   0.377198E+00
   0.758679E-04   0.226714E+07   0.226714E+07   0.301459E+07   0.301449E+07   0.000000E+00   0.226714E+07   0.226714E+07   0.227682E+07  -0.600499E+00   0.226271E+07   0.226271E+07   0.389979E+00
   0.784394E-04   0.226713E+07   0.226713E+07   0.301402E+07   0.301390E+07   0.000000E+00   0.226713E+07   0.226713E+07   0.227682E+07  -0.600497E+00   0.226270E+07   0.226270E+07   0.403192E+00
   0.810981E-04   0.226712E+07   0.226712E+07   0.301340E+07   0.301328E+07   0.000000E+00   0.226712E+07   0.226712E+07   0.227681E+07  -0.600495E+00   0.226270E+07   0.226270E+07   0.416853E+00
   0.838470E-04   0.226712E+07   0.226712E+07   0.301274E+07   0.301261E+07   0.000000E+00   0.226712E+07   0.226712E+07   0.227680E+07  -0.600492E+00   0.226269E+07   0.226269E+07   0.430976E+00
   0.866890E-04   0.226711E+07   0.226711E+07   0.301204E+07   0.301190E+07   0.000000E+00   0.226711E+07   0.226711E+07   0.227679E+07  -0.600489E+00   0.226268E+07   0.226268E+07   0.445577E+00
   0.896273E-04   0.226710E+07   0.226710E+07   0.301129E+07   0.301114E+07   0.000000E+00   0.226710E+07   0.226710E+07   0.227678E+07  -0.600487E+00   0.226268E+07   0.226268E+07   0.460672E+00
   0.926652E-04   0.226709E+07   0.226709E+07   0.301048E+07   0.301032E+07   0.000000E+00   0.226709E+07   0.226709E+07   0.227677E+07  -0.600483E+00   0.226267E+07   0.226267E+07   0.476278E+00
