#           k/h    P           
    0.43936E+01    0.20502E+01
    0.45425E+01    0.18839E+01
    0.46965E+01    0.17309E+01
    0.48557E+01    0.15901E+01
    0.50203E+01    0.14606E+01
    0.51904E+01    0.13415E+01
    0.53664E+01    0.12320E+01
    0.55483E+01    0.11312E+01
    0.57363E+01    0.10386E+01
    0.59307E+01    0.95343E+00
    0.61318E+01    0.87517E+00
    0.63396E+01    0.80323E+00
    0.65545E+01    0.73713E+00
    0.67767E+01    0.67639E+00
    0.70063E+01    0.62060E+00
    0.72438E+01    0.56934E+00
    0.74894E+01    0.52226E+00
    0.77432E+01    0.47903E+00
    0.80057E+01    0.43932E+00
    0.82770E+01    0.40287E+00
    0.85576E+01    0.36941E+00
    0.88476E+01    0.33869E+00
    0.91475E+01    0.31050E+00
    0.94576E+01    0.28462E+00
    0.97781E+01    0.26088E+00
    0.10110E+02    0.23910E+00
    0.10452E+02    0.21911E+00
    0.10807E+02    0.20077E+00
    0.11173E+02    0.18396E+00
    0.11552E+02    0.16853E+00
    0.11943E+02    0.15439E+00
    0.12348E+02    0.14142E+00
    0.12766E+02    0.12953E+00
    0.13199E+02    0.11863E+00
    0.13647E+02    0.10863E+00
    0.14109E+02    0.99473E-01
    0.14587E+02    0.91078E-01
    0.15082E+02    0.83384E-01
    0.15593E+02    0.76334E-01
    0.16121E+02    0.69874E-01
    0.16668E+02    0.63956E-01
    0.17233E+02    0.58535E-01
    0.17817E+02    0.53569E-01
    0.18421E+02    0.49020E-01
    0.19045E+02    0.44854E-01
    0.19691E+02    0.41039E-01
    0.20358E+02    0.37546E-01
    0.21048E+02    0.34347E-01
    0.21762E+02    0.31418E-01
    0.22499E+02    0.28738E-01
    0.23262E+02    0.26283E-01
    0.24050E+02    0.24037E-01
    0.24866E+02    0.21981E-01
    0.25708E+02    0.20100E-01
    0.26580E+02    0.18378E-01
    0.27481E+02    0.16803E-01
    0.28412E+02    0.15361E-01
    0.29375E+02    0.14042E-01
    0.30371E+02    0.12836E-01
    0.31400E+02    0.11732E-01
    0.32465E+02    0.10723E-01
    0.33565E+02    0.97993E-02
    0.34703E+02    0.89548E-02
    0.35879E+02    0.81826E-02
    0.37095E+02    0.74765E-02
    0.38352E+02    0.68308E-02
    0.39652E+02    0.62404E-02
    0.40996E+02    0.57007E-02
    0.42386E+02    0.52073E-02
    0.43823E+02    0.47563E-02
    0.45308E+02    0.43441E-02
    0.46844E+02    0.39673E-02
    0.48432E+02    0.36229E-02
    0.50073E+02    0.33082E-02
