#           k/h    P           
    0.31645E-01    0.35035E+04
    0.32717E-01    0.34074E+04
    0.33826E-01    0.33101E+04
    0.34973E-01    0.32122E+04
    0.36158E-01    0.31145E+04
    0.37384E-01    0.30176E+04
    0.38651E-01    0.29224E+04
    0.39961E-01    0.28296E+04
    0.41316E-01    0.27397E+04
    0.42716E-01    0.26534E+04
    0.44164E-01    0.25712E+04
    0.45661E-01    0.24935E+04
    0.47208E-01    0.24206E+04
    0.48809E-01    0.23526E+04
    0.50463E-01    0.22894E+04
    0.52173E-01    0.22309E+04
    0.53942E-01    0.21766E+04
    0.55770E-01    0.21260E+04
    0.57660E-01    0.20783E+04
    0.59615E-01    0.20325E+04
    0.61635E-01    0.19875E+04
    0.63725E-01    0.19421E+04
    0.65885E-01    0.18949E+04
    0.68118E-01    0.18449E+04
    0.70427E-01    0.17909E+04
    0.72814E-01    0.17320E+04
    0.75282E-01    0.16680E+04
    0.77833E-01    0.15986E+04
    0.80472E-01    0.15246E+04
    0.83199E-01    0.14470E+04
    0.86019E-01    0.13674E+04
    0.88935E-01    0.12876E+04
    0.91949E-01    0.12100E+04
    0.95066E-01    0.11366E+04
    0.98288E-01    0.10694E+04
    0.10162E+00    0.10098E+04
    0.10506E+00    0.95850E+03
    0.10863E+00    0.91569E+03
    0.11231E+00    0.88052E+03
    0.11611E+00    0.85140E+03
    0.12005E+00    0.82606E+03
    0.12412E+00    0.80178E+03
    0.12833E+00    0.77582E+03
    0.13268E+00    0.74592E+03
    0.13717E+00    0.71079E+03
    0.14182E+00    0.67056E+03
    0.14663E+00    0.62675E+03
    0.15160E+00    0.58202E+03
    0.15674E+00    0.53949E+03
    0.16205E+00    0.50189E+03
    0.16754E+00    0.47093E+03
    0.17322E+00    0.44680E+03
    0.17909E+00    0.42816E+03
    0.18516E+00    0.41246E+03
    0.19144E+00    0.39663E+03
    0.19793E+00    0.37820E+03
    0.20464E+00    0.35620E+03
    0.21157E+00    0.33157E+03
    0.21874E+00    0.30671E+03
    0.22616E+00    0.28432E+03
    0.23382E+00    0.26605E+03
    0.24175E+00    0.25188E+03
    0.24994E+00    0.24018E+03
    0.25842E+00    0.22863E+03
    0.26718E+00    0.21559E+03
    0.27623E+00    0.20102E+03
    0.28559E+00    0.18635E+03
    0.29527E+00    0.17331E+03
    0.30528E+00    0.16264E+03
    0.31563E+00    0.15368E+03
    0.32633E+00    0.14501E+03
    0.33739E+00    0.13578E+03
    0.34883E+00    0.12628E+03
    0.36065E+00    0.11748E+03
    0.37287E+00    0.10992E+03
    0.38551E+00    0.10323E+03
    0.39858E+00    0.96692E+02
    0.41209E+00    0.90106E+02
    0.42606E+00    0.83858E+02
    0.44050E+00    0.78273E+02
    0.45543E+00    0.73190E+02
    0.47087E+00    0.68290E+02
    0.48683E+00    0.63566E+02
    0.50333E+00    0.59203E+02
    0.52039E+00    0.55206E+02
    0.53802E+00    0.51431E+02
    0.55626E+00    0.47849E+02
    0.57512E+00    0.44528E+02
    0.59461E+00    0.41444E+02
    0.61476E+00    0.38543E+02
    0.63560E+00    0.35830E+02
    0.65715E+00    0.33309E+02
    0.67942E+00    0.30953E+02
    0.70245E+00    0.28752E+02
    0.72626E+00    0.26703E+02
    0.75087E+00    0.24792E+02
    0.77633E+00    0.23012E+02
    0.80264E+00    0.21353E+02
    0.82984E+00    0.19809E+02
    0.85797E+00    0.18371E+02
    0.88705E+00    0.17033E+02
    0.91712E+00    0.15789E+02
    0.94821E+00    0.14632E+02
    0.98035E+00    0.13556E+02
    0.10136E+01    0.12556E+02
    0.10479E+01    0.11628E+02
    0.10834E+01    0.10765E+02
    0.11202E+01    0.99639E+01
    0.11581E+01    0.92203E+01
    0.11974E+01    0.85303E+01
    0.12380E+01    0.78902E+01
    0.12799E+01    0.72966E+01
    0.13233E+01    0.67461E+01
    0.13682E+01    0.62358E+01
    0.14146E+01    0.57628E+01
    0.14625E+01    0.53247E+01
    0.15121E+01    0.49189E+01
    0.15633E+01    0.45431E+01
    0.16163E+01    0.41952E+01
    0.16711E+01    0.38731E+01
    0.17277E+01    0.35751E+01
    0.17863E+01    0.32994E+01
    0.18469E+01    0.30444E+01
    0.19095E+01    0.28086E+01
    0.19742E+01    0.25906E+01
    0.20411E+01    0.23891E+01
    0.21103E+01    0.22029E+01
    0.21818E+01    0.20308E+01
    0.22558E+01    0.18718E+01
    0.23322E+01    0.17250E+01
    0.24113E+01    0.15895E+01
    0.24930E+01    0.14644E+01
    0.25775E+01    0.13489E+01
    0.26649E+01    0.12423E+01
    0.27552E+01    0.11439E+01
    0.28486E+01    0.10532E+01
    0.29451E+01    0.96953E+00
    0.30449E+01    0.89236E+00
    0.31482E+01    0.82122E+00
    0.32549E+01    0.75564E+00
    0.33652E+01    0.69520E+00
    0.34792E+01    0.63950E+00
    0.35972E+01    0.58818E+00
    0.37191E+01    0.54091E+00
    0.38452E+01    0.49736E+00
    0.39755E+01    0.45726E+00
    0.41102E+01    0.42034E+00
    0.42496E+01    0.38635E+00
    0.43936E+01    0.35506E+00
    0.45425E+01    0.32626E+00
    0.46965E+01    0.29976E+00
    0.48557E+01    0.27538E+00
    0.50203E+01    0.25296E+00
    0.51904E+01    0.23232E+00
    0.53664E+01    0.21335E+00
    0.55483E+01    0.19590E+00
    0.57363E+01    0.17986E+00
    0.59307E+01    0.16512E+00
    0.61318E+01    0.15156E+00
    0.63396E+01    0.13911E+00
    0.65545E+01    0.12766E+00
    0.67767E+01    0.11714E+00
    0.70063E+01    0.10748E+00
    0.72438E+01    0.98599E-01
    0.74894E+01    0.90446E-01
    0.77432E+01    0.82959E-01
    0.80057E+01    0.76083E-01
    0.82770E+01    0.69770E-01
    0.85576E+01    0.63975E-01
    0.88476E+01    0.58655E-01
    0.91475E+01    0.53773E-01
    0.94576E+01    0.49292E-01
    0.97781E+01    0.45180E-01
    0.10110E+02    0.41407E-01
    0.10452E+02    0.37946E-01
    0.10807E+02    0.34771E-01
    0.11173E+02    0.31858E-01
    0.11552E+02    0.29187E-01
    0.11943E+02    0.26737E-01
    0.12348E+02    0.24491E-01
    0.12766E+02    0.22432E-01
    0.13199E+02    0.20544E-01
    0.13647E+02    0.18813E-01
    0.14109E+02    0.17227E-01
    0.14587E+02    0.15773E-01
    0.15082E+02    0.14441E-01
    0.15593E+02    0.13220E-01
    0.16121E+02    0.12101E-01
    0.16668E+02    0.11076E-01
    0.17233E+02    0.10137E-01
    0.17817E+02    0.92772E-02
    0.18421E+02    0.84894E-02
    0.19045E+02    0.77680E-02
    0.19691E+02    0.71073E-02
    0.20358E+02    0.65023E-02
    0.21048E+02    0.59483E-02
    0.21762E+02    0.54412E-02
    0.22499E+02    0.49769E-02
    0.23262E+02    0.45519E-02
    0.24050E+02    0.41629E-02
    0.24866E+02    0.38068E-02
    0.25708E+02    0.34810E-02
    0.26580E+02    0.31828E-02
    0.27481E+02    0.29100E-02
    0.28412E+02    0.26603E-02
    0.29375E+02    0.24319E-02
    0.30371E+02    0.22230E-02
    0.31400E+02    0.20318E-02
    0.32465E+02    0.18570E-02
    0.33565E+02    0.16971E-02
    0.34703E+02    0.15509E-02
    0.35879E+02    0.14171E-02
    0.37095E+02    0.12948E-02
    0.38352E+02    0.11830E-02
    0.39652E+02    0.10808E-02
    0.40996E+02    0.98731E-03
    0.42386E+02    0.90186E-03
    0.43823E+02    0.82375E-03
    0.45308E+02    0.75235E-03
    0.46844E+02    0.68710E-03
    0.48432E+02    0.62746E-03
    0.50073E+02    0.57296E-03
