#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       2.707863704092e-05      -8.672242444979e-03      -6.526561301752e-03      -6.526562731726e-03      -6.526767185877e-03      -6.526935310633e-03       4.741996544764e-01       4.741136376050e-01 
       2.770937952449e-05      -9.079479261181e-03      -6.834146216588e-03      -6.834147784467e-03      -6.834356233691e-03      -6.834537594118e-03       4.741994431350e-01       4.741134461441e-01 
       2.835481388786e-05      -9.505766649122e-03      -7.156226911601e-03      -7.156228630707e-03      -7.156440719129e-03      -7.156636451525e-03       4.741992208395e-01       4.741132446798e-01 
       2.901528234887e-05      -9.951988765237e-03      -7.493486524681e-03      -7.493488409605e-03      -7.493703712119e-03      -7.493915055747e-03       4.741989869665e-01       4.741130326187e-01 
       2.969113509664e-05      -1.041907005572e-02      -7.846640337044e-03      -7.846642403769e-03      -7.846860417646e-03      -7.847088724419e-03       4.741987378651e-01       4.741128063442e-01 
       3.038273047726e-05      -1.090797733785e-02      -8.216437502745e-03      -8.216439768794e-03      -8.216659904504e-03      -8.216906649508e-03       4.741984797830e-01       4.741125721600e-01 
       3.109043518373e-05      -1.141972120768e-02      -8.603662332651e-03      -8.603664817248e-03      -8.603886388282e-03      -8.604153181300e-03       4.741982099975e-01       4.741123273931e-01 
       3.181462445047e-05      -1.195535816292e-02      -9.009136097458e-03      -9.009138821665e-03      -9.009361033293e-03      -9.009649631445e-03       4.741979259873e-01       4.741120695711e-01 
       3.255568225221e-05      -1.251599281979e-02      -9.433718913078e-03      -9.433721900033e-03      -9.433943836900e-03      -9.434256158469e-03       4.741976326218e-01       4.741118036372e-01 
       3.331400150761e-05      -1.310277940713e-02      -9.878311192919e-03      -9.878314467935e-03      -9.878535080325e-03      -9.878873219936e-03       4.741973228171e-01       4.741115225381e-01 
       3.408998428757e-05      -1.371692453267e-02      -1.034385593369e-02      -1.034385952454e-02      -1.034407761326e-02      -1.034444385847e-02       4.741969972074e-01       4.741112269798e-01 
       3.488404202843e-05      -1.435968920485e-02      -1.083134060087e-02      -1.083134453800e-02      -1.083155873768e-02      -1.083195558718e-02       4.741966576190e-01       4.741109188498e-01 
       3.569659575012e-05      -1.503239101273e-02      -1.134179909883e-02      -1.134180341564e-02      -1.134201217633e-02      -1.134244235983e-02       4.741963015639e-01       4.741105957265e-01 
       3.652807627937e-05      -1.573640669489e-02      -1.187631408723e-02      -1.187631882032e-02      -1.187652038719e-02      -1.187698688726e-02       4.741959281211e-01       4.741102567573e-01 
       3.737892447818e-05      -1.647317464812e-02      -1.243601927988e-02      -1.243602446936e-02      -1.243621686035e-02      -1.243672293631e-02       4.741955377077e-01       4.741099024279e-01 
       3.824959147751e-05      -1.724419744542e-02      -1.302210178170e-02      -1.302210747158e-02      -1.302228845273e-02      -1.302283766683e-02       4.741951293308e-01       4.741095318293e-01 
